,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,IN_TREINEIRO,TP_SEXO,TP_ESCOLA,TP_COR_RACA,SG_UF_PROVA
37773,,,,,,0,F,1,3,PA
1508063,535.1,552.6,606.2,637.2,760.0,0,M,1,3,MG
842303,481.9,522.5,492.2,547.2,740.0,0,F,2,2,SP
717883,510.9,540.6,494.5,523.0,560.0,0,M,2,1,PE
1829305,592.4,617.7,591.0,751.1,780.0,0,M,1,3,AL
1980701,451.2,410.3,544.3,577.0,500.0,1,F,1,3,CE
1862465,539.1,594.5,566.1,671.8,860.0,0,F,3,1,RS
846521,462.0,425.2,406.1,569.4,460.0,0,M,3,4,PR
3231082,449.4,472.8,456.8,537.0,420.0,0,M,2,2,PA
3109842,,,,,,0,F,1,3,MA
1193856,,,,,,0,F,2,2,SP
3173037,446.7,500.9,347.7,434.6,480.0,0,F,1,3,DF
2162465,530.0,565.7,556.6,624.6,900.0,1,F,1,1,MA
2972143,446.1,419.6,424.8,431.6,480.0,0,M,1,3,SP
2087141,,521.6,503.3,,580.0,0,F,1,3,BA
1444591,544.4,593.4,657.4,654.3,660.0,0,F,1,1,BA
1746949,394.3,508.4,445.0,559.9,680.0,0,F,2,3,PB
1860580,543.5,,,646.9,,1,M,1,3,GO
3128421,,,,,,0,M,1,3,BA
730809,426.4,535.0,468.0,463.4,540.0,0,M,2,3,PA
1200937,559.6,477.3,487.8,438.0,660.0,1,M,1,3,CE
2249063,,,,,,0,M,2,3,CE
3130365,,594.1,596.7,,680.0,1,M,1,1,SP
1596880,608.2,596.3,626.5,682.0,920.0,0,F,3,1,RS
2336200,,,,,,0,M,1,0,SE
3141829,447.0,430.9,435.7,533.0,620.0,0,M,2,3,TO
2024816,427.4,509.1,462.9,603.7,660.0,0,F,1,3,PE
2204917,496.7,482.0,502.2,439.0,540.0,0,M,2,3,MA
3443903,,,,,,0,M,1,3,SE
208088,444.4,457.4,534.1,396.3,660.0,0,F,1,1,CE
3126358,495.0,507.8,568.4,519.7,560.0,0,F,2,1,SP
2492779,499.9,579.9,514.3,601.6,940.0,0,F,1,1,RS
2803591,538.6,658.6,554.1,579.2,840.0,0,M,3,1,SP
2314795,,,,,,0,M,2,3,CE
3370294,,,,,,0,M,1,3,PR
1007373,,,,,,0,F,1,3,MG
2628404,516.1,492.7,501.7,537.4,520.0,0,F,1,2,RJ
596564,,,,,,0,F,2,3,RO
201735,469.0,549.1,542.6,632.7,640.0,0,M,1,3,PI
2601918,,,,,,0,F,2,1,RS
711800,408.4,404.1,455.6,391.8,400.0,0,M,2,0,GO
3174291,,,,,,0,F,1,3,MG
1407488,445.2,501.3,514.6,459.1,480.0,0,M,2,1,SP
2045961,,,,,,0,F,2,3,PB
741035,,,,,,0,F,1,3,SE
2594965,422.3,522.0,516.7,611.5,720.0,1,F,1,1,SP
2512792,,,,,,0,M,2,3,GO
1896937,424.4,435.3,500.8,568.5,640.0,0,M,2,3,AM
276530,650.9,698.5,627.2,706.8,800.0,0,F,1,1,SP
2355140,496.8,521.3,563.4,439.8,840.0,0,F,1,3,RR
3213104,,,,,,0,M,1,3,SC
2937994,,533.5,367.2,,660.0,0,M,2,1,RS
3121105,,,,,,0,M,1,2,MG
1741297,,,,,,0,F,2,3,SE
2869221,,,,,,0,F,2,1,RR
1198004,456.1,456.4,494.0,463.7,540.0,0,F,2,4,PA
769927,541.2,618.9,543.6,527.2,600.0,0,M,1,2,SP
78166,,,,,,0,M,1,3,ES
2298552,,535.9,520.9,,560.0,1,M,1,0,RR
3220075,,,,,,0,F,2,1,GO
684692,,,,,,0,M,2,1,PA
3349399,,,,,,0,M,1,1,CE
3145721,446.7,344.2,400.6,543.4,560.0,0,M,2,1,SP
2774838,,,,,,0,F,1,3,MA
1139440,,,,,,0,F,1,3,SP
1913306,,,,,,0,M,2,1,RS
1724926,570.0,594.7,588.3,634.7,760.0,0,F,2,1,RO
2663798,599.8,657.7,618.4,592.7,800.0,0,F,3,0,PR
2253717,,,,,,0,F,2,3,CE
1953363,,,,,,0,F,1,3,AL
1669641,,,,,,0,F,1,2,RJ
3474113,,,,,,0,M,1,2,MA
967159,427.8,375.9,396.4,403.5,440.0,0,F,1,1,BA
2578950,426.4,409.0,494.0,390.3,780.0,0,F,1,3,TO
908154,434.1,391.8,386.5,459.1,600.0,0,M,1,3,PA
787700,433.4,443.9,512.9,388.9,640.0,0,F,2,0,AM
217987,528.9,550.9,498.1,546.4,360.0,0,M,1,3,PI
3415085,,,,,,0,M,2,2,MG
1904068,434.1,522.1,488.1,594.4,0.0,0,F,1,3,RN
2830407,,469.0,502.9,,440.0,0,F,2,3,AM
2577940,,556.6,548.6,,540.0,0,M,1,2,BA
689071,,,,,,0,F,2,2,RJ
1233657,449.8,387.2,368.3,400.8,640.0,0,F,2,3,PB
3323560,421.3,389.0,575.0,813.4,620.0,0,M,1,3,MA
2094887,566.2,646.4,630.1,734.8,920.0,1,F,1,1,BA
447912,496.4,442.6,521.6,362.1,480.0,0,M,1,3,PE
3159513,432.3,531.8,558.4,600.8,500.0,1,F,1,1,SP
127703,448.0,499.9,509.0,526.1,720.0,0,F,2,3,AC
3302186,,,,,,0,M,1,1,PR
752432,519.7,529.0,547.0,554.5,0.0,0,F,1,3,MS
47490,397.2,576.7,443.6,372.0,560.0,0,F,2,1,RS
2176371,408.2,527.2,486.2,474.5,440.0,0,F,2,3,BA
2048044,461.5,532.9,508.3,346.6,600.0,0,F,1,1,ES
1579493,,,,,,0,F,2,1,RJ
1531754,481.9,544.1,561.5,498.9,600.0,0,M,2,3,PE
981325,,,,,,0,M,2,2,CE
43619,,,,,,0,M,1,3,CE
801679,618.7,609.4,623.1,753.1,820.0,0,F,1,1,MG
857677,516.5,473.9,512.5,601.7,840.0,0,F,2,2,BA
583545,,338.1,372.9,,0.0,0,M,1,2,CE
2415706,,,,,,0,M,2,3,PA
1682836,468.0,458.9,451.0,380.2,520.0,0,F,2,3,SE
377228,477.5,354.6,452.9,369.1,520.0,0,M,2,3,CE
347959,419.1,562.8,594.2,581.6,900.0,0,M,1,1,MA
88210,379.0,498.1,483.9,448.1,560.0,0,F,1,1,PR
2079148,469.7,452.9,456.1,571.7,680.0,0,F,2,2,RJ
402769,411.3,379.5,483.9,591.1,600.0,0,M,1,1,MG
3130381,,,,,,0,M,1,3,PA
897658,,544.8,466.0,,600.0,0,F,2,1,GO
2841297,,,,,,0,M,1,2,PB
3455224,,,,,,0,F,1,3,ES
1293426,,,,,,0,F,2,1,RJ
511946,,433.5,494.1,,680.0,0,M,1,3,CE
2841554,483.6,356.9,444.3,408.5,300.0,0,F,1,1,MA
684148,,,,,,0,F,2,1,RS
655737,614.8,608.8,496.6,706.6,580.0,0,M,3,1,SP
1828481,540.2,536.8,416.5,451.9,540.0,0,F,1,1,PB
269972,448.8,581.2,574.9,480.4,540.0,0,F,1,1,SP
2393114,,,,,,0,M,2,4,BA
2317937,,,,,,0,F,1,1,RS
3462852,,,,,,0,M,1,1,GO
2315640,540.9,619.0,533.7,368.0,680.0,0,F,3,1,PB
545747,588.2,583.0,618.6,566.5,640.0,0,M,1,1,RJ
1284690,440.7,470.9,603.7,382.9,720.0,0,F,1,3,PE
1230433,,,,,,0,F,1,2,CE
2905691,,,,,,0,M,1,1,RS
1569701,383.8,417.0,376.4,450.3,400.0,0,F,1,3,BA
3438478,597.5,592.0,552.8,611.6,540.0,0,F,1,1,PR
1721125,491.8,587.7,549.4,577.3,700.0,0,F,1,4,MG
1651736,489.7,480.3,355.1,387.2,480.0,0,F,2,3,PA
2082708,526.2,550.9,608.6,678.1,860.0,1,F,1,1,CE
2109528,633.2,626.8,623.8,750.2,900.0,0,M,1,1,RS
143318,483.8,578.8,528.3,571.8,680.0,0,M,1,1,PE
2180426,,,,,,0,M,2,1,RS
1071581,501.1,561.3,495.8,558.9,560.0,0,M,1,4,BA
1900783,487.2,536.6,473.5,617.6,600.0,0,M,2,1,SP
2316954,,,,,,0,M,1,1,BA
1616584,401.0,413.8,404.1,428.2,440.0,1,F,1,3,MS
2047385,552.6,561.3,557.6,511.7,340.0,0,M,1,2,RO
919879,583.6,538.6,547.3,550.0,440.0,0,M,2,3,SP
1222821,562.3,647.9,568.5,774.5,960.0,1,F,1,1,RJ
819256,600.4,581.7,519.8,589.1,720.0,0,M,2,1,SP
2370269,534.4,567.0,605.1,686.8,880.0,0,M,3,1,MG
1574367,384.4,526.5,451.2,422.4,460.0,0,F,2,2,BA
186950,546.5,405.4,456.8,576.4,920.0,0,F,1,3,PE
1140111,,,,,,0,F,1,2,MA
61006,414.2,471.5,404.5,488.5,460.0,0,M,1,2,SP
3462019,530.8,679.5,666.2,827.6,620.0,0,M,1,1,RJ
1298011,470.7,397.8,539.8,441.0,380.0,0,F,2,1,RS
1234344,392.8,467.7,435.6,519.6,480.0,0,F,2,3,PA
179731,504.9,463.3,518.1,648.7,760.0,1,M,1,3,BA
1636320,,567.8,503.6,,460.0,0,F,2,1,MG
3382041,,,,,,0,F,2,3,AM
632758,,,,,,0,F,1,2,MA
2442019,519.2,520.1,495.1,442.9,580.0,0,F,2,3,GO
2767234,490.8,491.3,469.4,435.5,480.0,0,F,1,3,MA
2304653,,,,,,0,M,1,3,AC
1410893,632.2,580.3,535.3,600.6,900.0,0,M,2,1,MG
1772643,614.0,600.2,543.1,604.9,820.0,0,M,3,1,GO
683017,,,,,,0,F,1,1,RN
3249252,558.4,558.1,620.5,526.0,800.0,1,F,1,1,SP
856664,467.3,601.7,579.6,404.5,660.0,0,F,1,3,MG
2771991,396.1,552.8,549.7,541.3,520.0,0,F,1,3,AM
2894614,,,,,,0,F,1,3,BA
3125646,511.2,334.1,546.6,421.8,520.0,0,F,1,1,PR
1088310,525.5,515.5,466.5,479.0,340.0,0,M,1,3,RN
3141591,,396.7,484.1,,580.0,1,M,1,1,MG
56993,428.7,566.3,530.3,458.8,660.0,0,F,2,2,GO
631732,,,,,,0,F,2,1,ES
3057634,428.6,522.6,518.8,488.4,440.0,0,F,1,3,SE
1867202,,,,,,0,F,1,1,SP
3463203,,,,,,0,F,1,1,SP
1088521,,,,,,0,F,1,1,PE
3158792,513.1,545.4,548.8,534.3,720.0,1,F,1,1,SC
1099143,452.9,554.2,570.9,566.0,720.0,0,M,2,2,MT
1971061,,,,,,0,F,1,2,BA
3069230,491.4,328.3,349.2,391.0,400.0,0,M,1,3,AL
207375,,,,,,0,F,2,3,CE
3069181,433.2,511.6,522.8,561.1,700.0,0,F,1,3,BA
3002814,432.4,473.1,499.7,562.4,320.0,0,F,1,3,MT
57138,399.6,543.5,578.2,450.0,620.0,0,F,2,3,SP
1034202,,,,,,0,M,1,2,ES
838135,,584.6,558.6,,0.0,0,F,1,3,PE
1008092,484.6,471.1,506.2,423.8,560.0,0,F,1,2,SP
595299,520.2,555.1,558.0,651.2,660.0,0,M,3,3,SP
3325048,,,,,,0,F,1,3,SP
1244624,484.3,558.6,569.6,599.3,360.0,0,F,2,1,SP
2026057,643.0,657.0,593.8,572.1,820.0,0,M,1,1,SC
2262327,494.0,616.3,576.1,616.5,680.0,0,M,1,1,SP
1320086,438.6,470.1,445.3,517.9,560.0,0,M,2,2,SP
2252025,,517.2,573.8,,660.0,1,F,1,1,PA
2339085,,,,,,0,M,2,3,SE
726262,537.0,629.6,570.7,673.0,620.0,0,M,2,1,SC
401614,,,,,,0,F,1,3,RS
833614,526.6,523.3,499.6,527.4,560.0,0,M,1,3,SP
1974309,639.7,608.4,576.1,713.0,840.0,0,M,2,3,PR
497298,550.6,582.3,603.7,606.3,680.0,0,F,3,1,SP
597650,446.9,536.8,519.5,549.3,720.0,0,F,2,3,MA
381419,,,,,,0,F,1,3,SC
2540752,,,,,,0,F,1,1,RN
3219551,586.4,542.1,549.1,578.7,500.0,0,M,1,3,PR
2022998,389.5,412.5,382.2,447.1,480.0,0,M,2,3,AP
3132527,582.1,519.1,601.6,503.4,720.0,1,M,1,1,MA
2807578,463.3,392.6,434.4,498.3,600.0,0,F,1,3,RO
257819,,,,,,0,F,1,3,MG
691004,450.9,597.5,576.0,416.2,660.0,0,F,3,3,BA
2667551,517.1,479.4,483.4,503.5,0.0,0,F,1,1,SP
2757532,,,,,,0,F,1,1,PR
1904890,,,,,,0,F,2,1,PE
1868111,529.9,493.6,579.1,592.1,640.0,0,M,2,3,DF
1989062,570.6,667.5,611.5,779.1,820.0,0,M,3,3,PE
2168207,704.4,693.1,626.8,838.5,780.0,0,M,2,1,RJ
1225715,537.1,681.5,623.0,663.9,920.0,0,F,3,1,CE
1190185,521.0,566.9,496.5,597.7,540.0,0,F,1,3,RJ
2762117,372.0,409.2,386.0,396.4,560.0,0,F,1,3,BA
3386754,445.4,378.1,339.5,435.0,560.0,1,F,1,1,CE
1182631,,,,,,0,M,1,3,PI
871661,501.3,525.2,548.0,416.4,560.0,1,M,1,3,PR
280287,488.1,655.5,618.0,783.0,980.0,0,F,1,1,MG
395749,404.4,551.7,539.8,636.4,820.0,0,F,2,1,RS
2619743,524.7,539.1,545.5,405.0,680.0,0,M,3,1,RJ
1453090,546.3,559.1,654.4,562.0,840.0,0,F,2,1,AC
1372366,681.0,737.0,693.7,783.5,940.0,0,F,1,1,RO
2285716,561.9,577.9,569.3,535.6,820.0,1,F,1,1,MT
2733024,559.4,541.6,533.5,469.1,640.0,0,F,1,3,MG
2310372,,,,,,1,M,1,2,GO
1124845,,,,,,0,F,1,3,DF
578376,413.6,398.6,388.8,359.4,560.0,1,F,1,3,SE
3363643,,,,,,0,M,2,2,SP
2558186,563.5,576.1,568.7,667.4,600.0,0,M,1,1,SP
1088989,465.8,506.3,532.9,510.4,680.0,1,F,1,3,CE
1954183,508.2,579.7,631.9,574.7,780.0,0,F,1,1,RS
1260916,555.0,536.6,540.8,565.2,600.0,0,M,2,1,MG
2838417,454.7,525.4,442.0,502.5,500.0,0,M,2,3,RJ
1425252,,,,,,0,F,1,1,RJ
2415773,,,,,,0,F,1,3,AL
709114,565.0,611.7,627.8,555.0,720.0,0,M,1,3,SP
1636022,,,,,,0,M,1,3,MT
2129514,421.1,509.9,537.3,426.1,600.0,0,M,1,3,SP
3067108,,,,,,0,F,1,3,CE
2483636,409.4,527.8,507.5,472.7,660.0,0,M,2,1,PR
2183996,563.1,636.5,631.8,696.7,520.0,0,M,1,2,AL
2244354,,,,,,0,F,2,3,RS
1661339,473.6,535.8,538.1,563.4,480.0,0,M,1,1,RS
1167259,392.4,432.5,372.9,399.6,480.0,0,F,2,1,PI
2662914,625.4,622.8,603.6,713.9,920.0,0,F,1,1,MG
2388826,,,,,,0,M,2,3,CE
389563,404.6,499.8,507.7,385.3,440.0,0,F,1,1,PA
2642250,440.0,499.4,386.1,455.5,560.0,0,M,2,3,AC
3013444,,,,,,0,M,1,3,CE
2435958,398.7,437.2,422.9,373.9,620.0,0,F,1,1,RJ
2851499,584.8,562.1,485.7,730.9,880.0,0,F,1,3,BA
2805774,490.1,576.5,532.5,702.1,440.0,0,F,1,4,RJ
3191776,543.5,583.8,589.2,646.3,900.0,1,F,1,1,MG
129181,,,,,,0,F,1,1,PR
3319195,,,,,,0,M,2,3,PR
3009405,429.0,447.7,352.0,435.2,520.0,0,F,1,3,RN
591619,584.1,590.3,582.6,669.1,840.0,0,F,3,1,RJ
2198361,,,,,,0,M,1,1,MG
1002494,379.4,383.9,327.3,388.9,480.0,0,F,2,3,MA
3471476,,,,,,0,M,2,2,MT
2171657,555.7,568.7,483.9,619.1,360.0,0,F,1,1,SP
3138113,483.4,446.3,478.9,538.3,840.0,1,M,1,2,GO
932647,504.1,571.6,579.1,529.1,760.0,1,F,1,1,AL
881182,640.5,686.6,627.1,474.5,740.0,0,M,2,2,RJ
2650495,495.1,331.9,336.9,412.5,520.0,0,M,2,3,AL
1333966,559.8,608.3,580.2,742.5,760.0,0,F,1,3,BA
3059856,,,,,,0,M,2,3,PE
2465711,498.9,479.3,559.9,534.0,680.0,0,M,1,4,RN
2964559,,,,,,0,F,2,1,GO
3464307,,,,,,0,M,1,3,GO
333376,612.9,592.4,361.3,525.6,580.0,0,M,1,1,PE
2813038,,,,,,0,F,2,1,SP
890443,,,,,,0,F,2,3,AM
3283601,,,,,,0,F,1,1,DF
3373324,568.1,525.6,555.1,562.0,640.0,0,M,2,1,BA
2154088,524.3,510.3,558.8,524.8,620.0,0,M,1,3,PB
1969060,420.7,519.2,543.0,478.9,500.0,0,M,2,2,RJ
1705310,,,,,,0,F,1,3,CE
2437172,389.5,453.8,447.0,365.3,280.0,0,F,1,1,MG
922540,421.7,547.4,458.3,414.6,640.0,0,M,2,3,MS
2152321,558.4,571.8,568.4,705.1,900.0,0,F,2,3,RO
1814403,442.5,592.9,569.2,657.0,560.0,0,M,1,1,MT
2824834,571.0,638.4,606.9,579.6,600.0,0,M,1,1,RJ
2606580,486.6,498.0,448.0,503.7,660.0,0,F,2,3,PR
3008936,,,,,,0,M,1,3,MS
2666621,617.4,696.8,630.6,746.0,860.0,0,F,1,1,RN
1641001,548.1,591.0,577.9,447.6,620.0,1,M,1,1,PI
1098236,467.8,513.0,507.2,337.5,560.0,0,F,1,1,SP
1057377,,413.9,440.9,,540.0,0,F,2,3,SP
2679154,371.3,350.3,510.6,545.4,600.0,0,F,1,1,SE
1405357,,,,,,0,M,1,3,MG
1211538,421.7,558.0,507.0,518.7,640.0,0,F,1,3,BA
776054,,467.6,457.9,,460.0,0,M,2,3,RN
2705777,551.8,547.4,559.9,629.2,680.0,1,M,1,1,SP
1014933,389.2,545.5,482.3,528.8,460.0,0,F,2,1,RS
835458,418.6,504.4,530.4,622.3,720.0,0,M,2,3,BA
415731,,,,,,1,F,1,2,GO
825729,433.7,457.7,308.7,343.2,460.0,0,F,1,4,SE
1156532,466.5,480.9,540.3,545.1,640.0,0,F,2,1,ES
524024,515.0,458.2,483.7,640.3,740.0,0,F,2,1,SC
1482639,405.7,359.9,389.7,354.2,560.0,0,F,1,3,PI
1104299,,401.3,405.5,,560.0,0,F,1,3,PI
2167031,474.7,342.3,392.0,610.4,700.0,0,M,1,1,RS
154188,,,,,,0,F,1,2,MG
1295610,509.6,522.6,449.5,499.6,660.0,1,F,1,1,MA
2159072,495.1,597.6,628.4,558.4,760.0,1,F,1,1,MG
2746632,558.9,588.0,544.4,453.4,580.0,1,F,1,1,RN
3224019,477.9,458.4,564.2,613.7,640.0,1,M,1,3,MG
3441674,,466.7,327.6,,580.0,0,M,1,2,RN
2289703,436.0,579.3,508.0,709.6,800.0,0,M,1,1,PI
2578606,467.8,483.9,489.8,394.5,640.0,1,F,1,1,GO
2934027,,,,,,0,M,1,1,RS
3298382,,,,,,0,F,1,2,RJ
1862230,429.5,485.5,552.8,425.1,0.0,1,F,1,1,MG
1540537,452.4,468.7,449.7,416.2,500.0,0,F,2,3,MS
2209156,461.1,418.2,375.1,442.4,740.0,0,F,2,2,MA
191572,573.2,573.4,558.1,689.4,720.0,1,F,1,3,RJ
2420652,,,,,,0,F,1,1,SP
2227844,362.7,482.4,389.7,345.6,580.0,0,F,2,1,RS
2104080,675.3,710.2,652.6,821.4,920.0,0,F,3,1,SP
3040531,,,,,,0,M,1,3,SP
3324324,490.0,546.8,521.7,717.2,560.0,0,M,1,3,MG
1552084,431.6,348.7,423.9,413.6,880.0,0,M,1,1,PB
2965377,,,,,,0,F,2,1,PE
1575193,,,,,,0,M,2,3,CE
2458567,452.3,,,411.6,,0,M,1,3,AM
146917,,,,,,0,F,1,3,RS
2689211,491.0,581.0,554.3,517.6,860.0,0,F,2,1,SP
2415390,548.0,570.3,503.1,502.4,660.0,0,M,2,2,PE
573312,,,,,,0,F,2,3,PR
688855,400.6,451.2,387.1,384.9,520.0,1,M,1,3,PA
181947,488.5,507.4,553.0,473.0,600.0,0,F,2,1,PR
2003522,,,,,,0,M,2,2,RS
2543535,472.7,385.7,319.0,418.0,320.0,0,F,2,3,MT
2937389,505.1,586.2,575.8,620.8,920.0,0,F,1,1,MG
638180,466.7,510.2,549.8,582.9,720.0,0,F,2,1,RS
1478935,594.6,576.1,556.5,669.4,520.0,0,M,2,1,SC
205568,418.0,421.2,491.8,660.5,780.0,1,F,1,3,BA
93176,721.9,687.1,656.9,874.5,960.0,0,F,1,1,DF
2635181,,,,,,0,M,1,2,RJ
735244,692.2,684.1,650.3,811.8,880.0,0,F,3,1,MG
495986,419.6,597.4,594.5,500.3,820.0,0,M,1,1,MG
484183,444.2,592.0,597.1,463.3,760.0,0,M,1,1,MA
1457127,444.4,341.3,494.8,426.1,660.0,0,F,2,1,PR
3414594,480.4,542.1,566.8,453.1,600.0,1,F,1,3,AM
695236,,614.1,583.7,,0.0,0,F,1,3,AP
1261559,473.7,477.0,422.0,378.5,540.0,0,F,1,2,MG
2399751,417.1,412.6,442.3,404.0,340.0,0,F,2,3,AM
1019917,481.4,453.8,474.1,570.8,400.0,0,F,2,3,MG
2476764,717.2,689.4,672.0,806.7,940.0,0,F,3,1,SP
2604067,469.2,610.0,584.4,421.1,720.0,0,F,1,1,RJ
2243929,,471.1,473.4,,580.0,0,F,2,1,SP
1866078,461.8,597.4,598.3,610.3,0.0,0,F,2,3,PE
1443674,578.2,520.0,490.0,590.6,900.0,0,F,1,3,CE
443172,426.0,523.8,515.7,410.8,360.0,0,F,1,1,RJ
833081,,,,,,0,F,1,1,AL
358847,614.7,594.0,546.8,501.0,600.0,0,M,2,3,SP
1822145,404.5,493.9,546.0,645.2,680.0,0,F,1,1,BA
919878,418.2,539.4,538.6,459.1,760.0,0,F,2,3,CE
2194197,,628.5,507.5,,560.0,0,M,1,2,PE
1037613,516.0,537.7,528.6,520.9,0.0,0,F,1,1,RJ
1638415,409.6,497.2,434.2,575.2,560.0,0,F,3,1,PR
1762110,697.6,607.7,647.1,813.4,800.0,1,M,1,1,RJ
1411449,,,,,,0,F,2,3,CE
1001676,417.8,481.0,353.3,499.2,540.0,0,F,2,1,SP
716050,449.1,427.9,466.0,394.6,560.0,1,F,1,1,PA
3316989,,,,,,0,M,1,4,PE
463219,502.2,539.3,477.1,541.5,420.0,0,M,2,3,MG
1112373,,,,,,0,M,2,2,PA
2832091,,458.1,459.4,,500.0,0,M,2,2,MG
2760491,418.4,426.9,396.7,400.1,520.0,0,M,2,3,DF
2933043,,,,,,1,F,1,3,GO
2107546,558.3,607.9,630.8,639.9,820.0,1,F,1,1,MG
3398152,439.3,530.9,518.1,454.5,680.0,1,F,1,3,MG
1502406,,,,,,0,M,1,1,RS
231631,419.8,463.7,323.1,342.9,0.0,0,F,2,1,MT
1430708,,,,,,0,F,2,3,SP
1283465,,,,,,0,F,1,1,RO
2614096,398.9,,,434.0,,1,F,1,3,MA
3100134,542.3,495.3,471.5,416.5,480.0,0,F,2,3,RJ
1534054,,,,,,0,F,1,3,PA
727148,393.5,620.5,575.3,441.5,700.0,0,F,1,2,SP
1436682,474.2,662.1,611.6,711.1,780.0,1,F,1,1,SP
254346,517.2,615.3,552.4,526.8,900.0,0,M,1,1,PB
1745288,529.1,619.0,573.2,698.0,900.0,0,F,3,1,SP
1895795,480.5,469.1,502.2,468.9,700.0,0,F,2,3,PA
3175169,653.9,681.2,611.4,797.9,720.0,0,M,1,1,SP
1640582,479.8,574.5,595.4,628.5,920.0,1,M,1,1,CE
29562,381.3,483.0,363.0,551.1,540.0,0,F,2,3,MA
3280985,636.7,613.2,642.9,668.9,740.0,0,F,1,1,ES
1429620,,,,,,0,M,2,3,MS
2738539,619.5,684.2,654.4,642.7,840.0,0,F,1,1,PR
1827989,432.2,582.9,652.8,624.8,920.0,0,F,1,1,RS
2154035,595.9,618.9,559.4,639.1,860.0,1,M,1,1,SP
3266597,,,,,,0,M,1,3,MS
2146356,415.4,529.1,563.7,443.0,400.0,0,F,1,1,RS
3263346,430.8,446.5,394.8,428.6,480.0,1,F,1,2,MT
1344268,399.0,439.5,470.2,427.3,760.0,0,F,1,1,PE
3377220,,676.5,529.9,,0.0,0,M,1,3,RO
466130,,,,,,0,M,1,3,MA
824324,498.4,561.7,529.2,509.4,660.0,0,M,2,2,SP
3027673,583.2,649.2,618.4,657.6,820.0,0,F,1,3,RN
3208997,406.5,423.9,513.9,494.2,340.0,0,F,2,1,DF
1916824,506.5,480.6,447.8,364.1,580.0,0,M,1,3,PI
2151510,543.1,520.0,554.5,507.4,560.0,0,M,2,3,SP
2881192,510.6,563.7,566.6,535.9,660.0,0,F,1,2,PE
1891035,,,,,,0,F,1,3,GO
3407406,400.3,500.4,492.9,498.1,520.0,0,F,1,2,SP
1153232,437.5,493.5,502.7,394.2,700.0,0,F,2,3,MG
2868544,514.0,422.0,535.2,441.9,680.0,0,M,3,1,AL
2528672,510.3,557.8,526.7,481.9,580.0,0,F,1,3,AP
2905199,,,,,,0,M,1,3,RO
507994,408.9,514.2,366.4,439.6,520.0,0,M,1,2,RR
1007657,,637.0,571.8,,700.0,0,F,1,1,DF
2523206,555.4,551.0,570.4,624.2,980.0,0,M,1,1,PB
2980815,444.7,509.9,409.4,747.8,360.0,0,M,1,1,RS
2780640,,,,,,0,F,2,2,GO
843102,,,,,,0,M,1,1,RJ
757726,648.3,718.9,687.8,826.5,980.0,0,M,3,1,SP
2552026,581.5,470.1,619.0,455.0,680.0,0,F,3,1,SP
3417837,544.8,593.9,606.0,685.1,740.0,1,M,1,1,SP
526352,545.3,706.5,691.5,716.2,880.0,0,M,3,1,CE
3067698,476.6,508.3,471.2,568.1,620.0,1,M,1,0,MT
1588905,681.9,672.6,647.1,838.2,820.0,0,F,1,4,PR
3048828,484.7,532.5,390.1,563.1,640.0,1,F,1,3,MT
2293706,552.2,577.3,515.7,503.3,780.0,1,F,1,1,SP
1450245,430.3,527.4,395.7,425.5,0.0,0,F,2,3,CE
1786165,,482.3,483.7,,300.0,0,F,2,3,PI
347170,,,,,,0,F,1,1,RS
1121572,483.3,416.7,377.0,378.2,560.0,1,F,1,3,MA
1161141,,,,,,0,F,1,3,MG
1104475,457.1,505.9,544.2,566.5,760.0,0,F,3,1,SP
2541999,483.6,535.4,506.2,415.1,600.0,0,F,1,1,CE
2282979,509.9,565.1,477.6,475.6,620.0,1,M,1,1,RS
933713,,,,,,0,F,1,3,MA
3128557,413.0,483.5,455.3,426.4,480.0,1,M,1,1,PA
1083949,459.2,470.8,468.4,406.1,560.0,0,F,2,1,SP
3164655,638.8,678.8,659.6,751.0,960.0,0,F,1,1,SP
854439,502.0,491.8,448.1,607.7,620.0,0,F,2,3,SP
612831,471.1,504.2,454.4,400.4,860.0,1,F,1,3,PE
523019,469.2,408.0,468.2,395.1,660.0,0,M,2,1,PA
1133283,,,,,,1,F,1,1,SP
1811705,,,,,,0,F,1,1,SP
607180,445.5,534.1,606.6,404.2,720.0,0,F,1,0,PR
1697325,,410.7,386.2,,0.0,0,F,2,1,AM
853998,,,,,,0,F,2,1,AM
2661732,555.7,537.7,540.2,635.7,640.0,0,M,2,1,DF
2071131,,,,,,0,F,1,1,MG
430342,593.3,576.2,578.7,632.7,700.0,0,F,2,3,AM
1322420,523.2,617.9,596.3,662.5,940.0,0,F,1,1,CE
801896,492.3,482.6,494.9,583.6,820.0,0,F,1,1,PE
2409455,,,,,,0,M,1,1,SP
1269607,616.1,539.1,558.7,723.9,760.0,0,M,2,1,MS
950620,447.5,569.9,518.1,515.3,680.0,0,M,2,3,CE
1509548,423.9,529.5,492.9,411.6,780.0,0,F,1,3,PI
956436,539.2,486.8,538.7,391.7,460.0,0,F,2,1,RJ
1798245,398.8,541.7,429.9,534.2,520.0,0,M,2,1,ES
774281,421.0,516.0,565.7,449.3,820.0,0,F,1,1,MG
555665,643.0,620.4,621.5,676.3,860.0,0,M,2,3,BA
