,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,IN_TREINEIRO,TP_SEXO,TP_ESCOLA,TP_COR_RACA,SG_UF_PROVA
1855497,576.9,537.3,544.8,647.2,660.0,0,M,1,1,SP
2036885,,358.6,371.7,,280.0,0,M,2,4,MG
2823923,485.8,536.8,443.5,642.6,0.0,0,M,2,1,RS
520241,488.6,548.8,533.0,434.3,580.0,0,F,1,1,SE
1119138,,,,,,0,M,1,4,DF
2522830,,,,,,0,F,1,1,SP
504948,438.8,460.7,403.3,355.9,760.0,0,F,1,3,PI
1316461,,,,,,0,F,1,3,RJ
569079,496.9,558.7,520.4,485.6,460.0,0,M,1,1,MG
342849,547.3,639.3,572.7,691.9,860.0,0,F,3,1,MG
1839837,490.3,495.6,405.5,556.6,620.0,0,F,1,3,PB
1440269,,,,,,0,F,2,3,RJ
1232064,,,,,,0,M,1,3,CE
420023,435.4,532.4,448.5,402.0,480.0,0,F,2,3,TO
594931,,,,,,0,F,1,2,BA
2180938,,444.4,361.2,,400.0,1,F,1,3,PR
618552,,,,,,0,M,1,1,SP
3172984,436.6,630.9,540.7,539.7,720.0,1,M,1,1,RS
1954915,629.3,627.1,595.4,824.9,900.0,0,F,1,1,BA
2291103,446.5,563.7,571.9,594.1,780.0,0,F,1,3,PR
2072503,,,,,,0,F,1,1,MS
443325,418.7,459.7,462.7,383.0,340.0,0,F,2,3,MG
957874,530.0,528.2,543.4,398.3,800.0,0,F,1,3,PE
298597,502.6,531.9,507.7,401.1,820.0,0,F,1,3,PA
287463,,,,,,0,M,1,2,DF
2351249,616.4,629.0,635.1,625.9,920.0,0,F,3,1,SP
2322155,381.4,487.2,344.0,379.4,560.0,1,F,1,3,BA
3292696,,,,,,0,F,1,1,RN
1442001,424.2,526.5,438.6,386.6,660.0,0,F,1,3,RJ
3144780,,552.4,548.2,,740.0,1,M,1,1,PA
2560536,,,,,,0,M,2,3,MA
15293,,,,,,0,F,1,3,MA
2225830,544.3,527.2,531.0,469.7,560.0,0,F,1,1,RJ
197452,431.2,486.0,501.2,482.6,540.0,0,F,1,3,BA
3219712,447.8,498.0,553.7,365.6,0.0,0,F,2,0,RS
2955950,,,,,,0,F,1,1,SP
3434104,421.8,418.1,387.8,378.9,0.0,0,F,1,3,MG
660040,604.6,614.1,599.7,641.7,740.0,0,F,2,1,SP
3346187,,,,,,0,F,1,5,AP
726959,528.8,531.8,586.6,477.4,780.0,0,M,3,3,PA
1161903,553.8,588.2,511.1,647.9,760.0,0,M,2,3,MG
882990,,,,,,0,F,1,1,SP
2912929,454.4,532.2,500.8,607.3,720.0,0,M,3,1,RJ
2393077,504.0,560.3,528.7,493.4,760.0,0,M,2,1,RS
2177676,587.4,642.3,617.2,738.8,920.0,0,F,3,1,SE
2336306,466.0,410.0,393.3,442.7,440.0,0,F,1,2,PE
1090517,541.6,515.0,505.7,530.8,540.0,0,F,1,3,RJ
1110492,484.5,552.6,520.8,595.0,460.0,0,M,2,1,MG
1674759,497.8,468.7,434.9,436.4,800.0,1,F,1,3,PE
3184731,,,,,,0,M,1,2,RJ
1866660,,,,,,0,F,1,1,PR
1465172,535.3,527.2,417.8,496.5,800.0,0,F,2,3,SE
1182339,493.7,595.0,611.9,712.2,520.0,0,M,1,3,SP
2423114,445.1,447.7,391.7,465.9,500.0,0,M,2,1,CE
2826958,,,,,,0,F,2,3,PE
2771533,462.4,570.5,598.9,642.7,860.0,0,M,1,3,MG
1704427,517.5,546.2,549.0,538.4,540.0,0,F,1,1,SP
1035644,,514.4,457.8,,600.0,0,M,1,3,PA
234214,,,,,,0,F,2,2,RJ
1778202,505.9,654.1,587.8,833.5,860.0,0,M,1,1,AL
2028951,,,,,,0,F,2,3,BA
2207249,427.9,473.8,440.5,384.4,600.0,0,M,2,1,PA
1234865,629.5,648.7,622.7,603.9,960.0,0,F,1,1,RS
1986070,,,,,,1,F,1,3,RN
564845,,,,,,1,F,1,1,PA
2219939,,,,,,0,F,1,1,SP
97451,584.3,661.2,626.0,758.6,920.0,0,F,1,3,PI
855876,528.5,591.0,561.7,563.9,620.0,0,F,1,1,RS
595203,620.6,594.2,617.3,731.2,660.0,0,M,1,1,CE
723038,577.2,635.8,568.5,810.0,920.0,0,M,3,3,PI
3232508,,,,,,0,M,1,3,RN
981056,,,,,,0,M,1,2,PA
1979282,,,,,,0,F,2,3,GO
1497406,392.6,464.3,497.2,487.9,540.0,0,F,1,1,RR
636300,,499.2,394.8,,560.0,0,F,2,3,GO
1775651,523.2,582.5,500.3,748.1,720.0,0,M,1,3,SP
3421139,603.1,650.2,579.8,724.5,940.0,1,M,1,1,BA
36100,398.4,382.5,316.2,463.8,600.0,0,F,2,1,MA
3066227,,,,,,0,F,1,1,DF
3259933,,,,,,0,M,3,1,RJ
1580241,448.9,391.7,399.0,466.8,640.0,0,M,2,3,BA
1075648,608.8,527.1,555.2,410.6,560.0,0,F,2,1,CE
732605,594.9,647.4,602.4,690.7,820.0,1,F,1,1,SP
557292,458.8,579.3,498.9,468.2,340.0,0,F,1,1,SP
1840330,552.5,555.7,540.2,611.8,0.0,0,M,1,1,SP
2898318,465.1,616.0,520.2,611.7,680.0,0,M,1,1,RN
1916300,,,,,,1,F,1,1,SC
3303179,,,,,,0,F,1,1,RO
2611244,,,,,,0,F,1,2,PI
2051594,,,,,,0,F,1,1,RJ
3290995,,486.6,541.1,,640.0,0,F,1,1,SP
1513487,458.6,546.2,494.5,499.6,640.0,0,F,3,1,SP
313350,414.6,523.3,545.3,477.5,680.0,0,F,1,1,SP
1335752,591.4,563.6,585.6,451.0,600.0,0,F,1,1,PR
1562229,551.8,584.3,513.9,690.2,760.0,0,M,2,3,GO
2530501,457.8,524.0,486.7,665.4,820.0,1,F,1,1,PE
835477,446.9,531.0,502.4,418.2,800.0,0,F,2,2,BA
3070147,,,,,,0,M,2,1,RO
2809369,,392.9,361.0,,380.0,0,M,1,2,PI
707849,419.8,462.1,500.5,448.7,600.0,0,F,2,3,RJ
2232406,,,,,,0,F,1,3,PA
2275889,395.6,556.6,607.9,728.5,740.0,0,M,1,2,MG
1630838,407.0,400.0,433.1,373.5,380.0,0,M,2,3,GO
2137178,550.4,517.3,503.1,603.2,940.0,0,M,1,1,PA
3271474,,,,,,1,F,1,3,AP
2860319,552.8,540.8,493.4,599.8,660.0,1,F,1,3,TO
269469,,,,,,0,F,1,3,GO
2536186,,,,,,0,F,1,3,BA
1334111,,474.4,435.6,,480.0,0,F,1,1,PA
1085904,400.3,511.1,393.0,398.6,560.0,0,F,2,3,MA
1669549,571.7,682.7,608.0,607.6,880.0,0,F,1,3,SP
1318822,456.6,415.2,389.4,441.5,500.0,0,F,2,3,GO
3259086,392.5,469.0,448.9,439.8,0.0,0,F,2,1,MS
1644631,404.6,513.5,498.7,520.2,600.0,0,F,1,1,SE
167179,588.9,672.1,634.8,849.1,960.0,0,F,1,1,PB
2162787,,575.6,526.3,,600.0,1,F,1,1,PA
1784627,619.5,601.6,587.6,792.1,900.0,0,M,3,1,PI
3178693,481.7,614.9,582.4,599.8,900.0,0,F,2,3,MS
3172189,,,,,,0,M,1,3,RJ
3176648,,,,,,0,M,1,3,MS
1087642,629.9,622.7,577.4,743.2,760.0,1,M,1,1,SP
1454981,458.8,455.6,541.2,463.5,640.0,0,F,2,3,SP
1804371,,,,,,0,F,1,1,BA
1096713,,,,,,0,F,1,3,BA
3284868,,,,,,0,F,2,1,SP
2858651,,,,,,0,F,1,1,MS
391439,443.4,518.6,521.6,493.8,560.0,1,F,1,1,GO
3385883,427.2,554.8,545.4,619.9,600.0,1,F,1,1,RS
2932394,399.4,,,392.4,,0,F,2,3,MA
1987447,484.4,545.2,558.1,456.4,520.0,0,F,1,3,AC
985202,417.2,560.6,535.9,606.6,760.0,1,F,1,3,BA
951900,705.2,760.0,567.2,904.9,940.0,0,F,1,1,SP
2392229,491.3,538.2,456.7,545.9,500.0,1,M,1,0,MT
3410032,,,,,,0,M,1,1,MG
2966400,,,,,,0,F,1,1,SC
2151953,,,,,,0,M,1,1,PA
1024216,,,,,,0,F,1,2,BA
997496,557.2,670.5,651.3,702.2,540.0,0,F,1,3,BA
3158200,,,,,,0,F,1,2,PA
1959272,433.3,544.1,469.6,505.0,620.0,0,F,2,3,PR
551568,447.3,582.2,567.3,563.2,560.0,0,M,2,3,RJ
1279663,624.2,638.0,604.7,640.1,600.0,1,F,1,3,ES
3358964,,,,,,0,M,1,3,SP
3417193,491.6,582.5,571.9,767.9,740.0,0,M,1,2,BA
317279,416.2,507.4,510.8,428.5,680.0,0,F,1,2,RS
455776,399.0,479.3,348.7,348.4,280.0,0,M,2,3,PI
3097201,524.3,438.5,366.3,503.1,720.0,0,F,1,3,PB
2765554,503.1,389.1,306.1,444.3,620.0,0,F,1,1,RJ
892792,,,,,,0,F,2,1,PR
3264689,521.7,632.0,589.5,683.1,820.0,1,F,1,1,SP
1522127,418.3,518.0,484.1,553.5,840.0,0,F,2,3,PI
890757,541.7,580.5,585.6,630.4,660.0,0,M,1,1,MG
448263,495.2,522.7,412.3,443.8,560.0,0,F,2,1,MS
445315,543.6,583.6,547.9,582.0,620.0,0,M,1,3,PB
2731316,531.5,497.2,491.3,666.8,400.0,0,F,1,4,PB
1040839,,511.5,433.4,,600.0,0,F,1,3,RN
566547,641.2,596.2,627.6,683.4,680.0,0,M,1,2,SP
1553759,617.0,602.9,605.8,652.8,680.0,1,F,1,3,SP
2771973,378.5,421.0,500.2,613.7,920.0,0,M,1,3,MG
948643,,,,,,0,F,2,1,PR
1067707,614.7,522.8,496.6,459.1,640.0,0,F,1,3,SC
1499918,582.7,630.3,555.8,671.6,880.0,0,M,2,1,MG
1754039,654.7,661.3,621.8,723.1,900.0,0,F,1,1,RS
2649611,,512.1,546.3,,660.0,0,F,2,3,BA
26976,,,,,,0,F,1,2,MG
1448031,631.7,616.9,640.0,442.7,540.0,0,F,1,1,MG
3373193,575.7,356.9,498.6,465.4,760.0,0,F,2,1,MT
2578062,,,,,,0,F,2,1,RN
2670056,629.4,632.4,579.1,745.5,800.0,0,F,3,1,MG
1790796,467.5,571.0,590.3,674.2,900.0,0,F,2,1,SP
2403322,,,,,,0,M,2,3,RJ
843754,,,,,,0,M,1,1,BA
309994,,,,,,0,M,2,1,RS
88629,416.3,436.0,509.7,458.5,600.0,0,M,1,3,CE
1897379,523.6,583.5,522.0,609.0,680.0,0,M,2,3,MT
1403014,,,,,,0,M,1,2,SE
929681,530.3,489.0,456.5,415.4,480.0,0,F,1,3,SE
792751,514.7,434.7,457.8,366.0,560.0,0,F,2,1,BA
2271623,433.7,560.5,496.1,419.0,580.0,0,M,1,3,BA
589788,494.9,576.5,574.9,667.5,800.0,0,F,2,1,SC
2802947,502.0,549.2,557.0,629.1,860.0,0,F,3,3,BA
3171533,,,,,,0,F,1,4,GO
3047785,483.5,479.6,490.3,536.3,560.0,0,M,2,1,RS
1152078,465.5,528.5,530.5,524.6,940.0,0,F,1,1,CE
3211591,427.1,484.5,481.2,646.7,560.0,1,M,1,1,MG
3432598,,431.8,413.2,,580.0,1,M,1,1,RS
2474944,609.0,634.9,605.1,628.5,740.0,0,M,3,1,DF
1658064,,,,,,0,F,1,2,PA
2539583,,,,,,0,M,1,2,PE
556776,488.2,361.7,408.4,367.2,280.0,0,M,2,1,CE
2971152,522.3,565.8,576.2,545.0,540.0,0,M,1,1,PR
2260438,473.9,451.3,466.0,531.2,480.0,0,M,1,3,MG
